date,days,mag
2443805.405,993,9.87
2443811.7,994,9.2
2443813.6,995,9.7
2443814.7,996,9.4
2443815.382,997,8.66
2443816.4,998,9.19
2443816.8,999,9.8
2443818.372,1000,9.5
2443824.333,1001,9.74
2443826.335,1002,9.04
2443829.376,1003,9.01
2443833.295,1004,9.18
2443833.299,1005,9.85
2443833.319,1006,9.01
2443833.7,1007,9.2
2443838.281,1008,9.01
2443839.326,1009,9.48
2443839.365,1010,9.47
2443841.478,1011,9.12
2443844.7,1012,8.9
2443847.399,1013,9.12
2443851.373,1014,9.12
2443852.427,1015,9.34
2443854.6,1016,9.6
2443859.364,1017,8.81
2443860.365,1018,9.48
2443862.393,1019,8.81
2443868.31,1020,9.28
2443870.7,1021,8.6
2443876.289,1022,9.75
2443876.351,1023,8.89
2443876.563,1024,9.37
2443883.34,1025,8.84
2443883.7,1026,9.2
2443887.347,1027,8.89
2443894.381,1028,8.84
2443897.6,1029,9.2
2443898.48,1030,9.34
2443900.521,1031,9.08
2443901.368,1032,8.96
2443903.363,1033,9.12
2443904.4,1034,8.8
2443906.354,1035,9.47
2443906.7,1036,9
2443907.419,1037,8.64
2443908.316,1038,8.96
2443910.7,1039,9.2
2443911.33,1040,8.81
2443912.434,1041,9.47
2443921.5,1042,8.9
2443926.7,1043,9
2443927.353,1044,9.34
2443927.45,1045,8.81
2443928.351,1046,8.88
2443928.408,1047,9.01
2443929.417,1048,9.18
2443930.304,1049,8.81
2443933.424,1050,9.09
2443933.425,1051,8.84
2443937.317,1052,8.66
2443940.427,1053,8.81
2443942.392,1054,9.34
2443945.5,1055,8.9
2443949.7,1056,9.1
2443950.405,1057,8.84
2443953.339,1058,8.84
2443954.344,1059,9.07
2443954.385,1060,8.96
2443955.365,1061,9.37
2443955.451,1062,9.08
2443956.357,1063,8.87
2443960.7,1064,9.2
2443967.5,1065,9.2
2443975.339,1066,8.66
2443988.41,1067,9.01
2443989.399,1068,8.98
2443992.378,1069,8.88
2444008.481,1070,8.96
2444046.476,1071,8.66
2444055.451,1072,8.64
2444066.507,1073,8.58
2444073.7,1074,8.8
2444075.8,1075,9.1
2444076.596,1076,8.55
2444076.8,1077,9.2
2444080.49,1078,8.52
2444080.58,1079,8.58
2444089.5,1080,7.8
2444089.8,1081,9.1
2444091.8,1082,9
2444096.8,1083,9.1
2444097.7,1084,8.5
2444101.524,1085,8.64
2444104.527,1086,8.58
2444108.7,1087,9
2444110.499,1088,8.55
2444113.385,1089,8.41
2444113.494,1090,8.34
2444116.481,1091,8.55
2444119.7,1092,9
2444121.354,1093,8.17
2444121.5,1094,8.9
2444123.463,1095,8.58
2444127.427,1096,9.08
2444128.448,1097,8.55
2444130.7,1098,9.2
2444131.365,1099,8.71
2444132.3,1100,8.2
